Id,Open,Close,High,Low,Volume,Date
1,1951.6,1936.29,1956.75,1929.91,,06/20/23
2,1958.55,1950.42,1958.64,1948,,06/19/23
3,1957.85,1957.85,1957.85,1957.85,,06/18/23
4,1957.85,1957.85,1957.85,1957.85,,06/17/23
5,1957.76,1957.85,1967.8,1953.55,,06/16/23
6,1943.65,1958.03,1960.29,1926.05,,06/15/23
7,1944.1,1943.45,1960.2,1939.9,,06/14/23
8,1957.02,1943.67,1968.57,1940.14,,06/13/23
9,1959.76,1957.65,1966.9,1949.3,,06-12-2023
10,0,1960.99,0,0,,06-11-2023
11,1960.99,1960.99,1960.99,1960.99,,06-10-2023
12,1966.25,1960.99,1971.55,1957.08,,06-09-2023
13,1941.09,1968.1,1970.3,1941.09,,06-08-2023
14,1963.29,1939.99,1969.88,1939.95,,06-07-2023
15,1961.43,1963.41,1966.33,1954.67,,06-06-2023
16,1947.7,1962.11,1964,1938.19,,06-05-2023
17,1948.02,1948.02,1948.02,1948.02,,06-04-2023
18,1948.02,1948.02,1948.02,1948.02,,06-03-2023
19,1977.04,1948.02,1983.4,1947.84,,06-02-2023
20,1963.37,1978.15,1982.97,1953.6,,06-01-2023
21,1958.83,1962.67,1974.25,1953.85,,05/31/23
22,1943.35,1959.52,1963.56,1932.28,,05/30/23
23,1943.84,1943.1,1949.73,1940.55,,05/29/23
24,1946.71,1946.61,1946.71,1946.61,,05/28/23
25,1946.71,1946.71,1946.71,1946.71,,05/27/23
26,1941.77,1946.71,1957.29,1937.74,,05/26/23
27,1958.5,1940.69,1964.74,1938.99,,05/25/23
28,1976.37,1957.36,1985.15,1956.9,,05/24/23
29,1971.86,1975.22,1977.61,1954.26,,05/23/23
30,1978.94,1969.79,1982.5,1969.33,,05/22/23
31,1977.8,1977.8,1977.8,1977.8,,05/21/23
32,1977.8,1977.8,1977.8,1977.8,,05/20/23
33,1958.39,1977.8,1983.25,1954.17,,05/19/23
34,1982.49,1958.43,1985.87,1952.08,,05/18/23
35,1988.31,1982.09,1993,1975.35,,05/17/23
36,2016.57,1988.94,2018.5,1985.62,,05/16/23
37,2010.25,2020.95,2021.81,2008.71,,05/15/23
38,0,2011.41,0,0,,05/14/23
39,2011.41,2011.41,2011.41,2011.41,,05/13/23
40,2015.2,2011.41,2022.28,2001.6,,05-12-2023
41,2030.04,2015.88,2039.11,2011.54,,05-11-2023
42,2034.31,2029.77,2047.89,2021.77,,05-10-2023
43,2020.93,2034.43,2037.44,2019.6,,05-09-2023
44,2016.6,2021.64,2029.36,2014.61,,05-08-2023
45,2016.57,2016.57,2016.57,2016.57,,05-07-2023
46,2016.57,2016.57,2016.57,2016.57,,05-06-2023
47,2049.13,2016.57,2052.95,1999.8,,05-05-2023
48,2045.55,2051.72,2062.83,2030.85,,05-04-2023
49,2016.2,2039.37,2040.3,2010.29,,05-03-2023
50,1981.93,2016.69,2018.97,1978.64,,05-02-2023
51,1989.93,1982.42,2005.73,1977.26,,05-01-2023
52,0,1989.7,0,0,,04/30/23
53,1989.7,1989.7,1989.7,1989.7,,04/29/23
54,1987.58,1989.7,1994.86,1978.18,,04/28/23
55,1990.09,1988.24,2003.17,1974.84,,04/27/23
56,1997.43,1989.85,2008.56,1983.58,,04/26/23
57,1992.26,1998.24,2003.72,1976.2,,04/25/23
58,1982.44,1989.25,1990.85,1974.95,,04/24/23
59,1982.44,1982.44,1982.44,1982.44,,04/23/23
60,1982.44,1982.44,1982.44,1982.44,,04/22/23
61,2004.24,1982.44,2005.5,1971.89,,04/21/23
62,1994.66,2004.69,2012.15,1990.65,,04/20/23
63,2005.34,1993.59,2008.1,1969.36,,04/19/23
64,1994.82,2005.3,2011.8,1991.51,,04/18/23
65,2002.78,1995.12,2014.9,1981.41,,04/17/23
66,2004.4,2004.4,2004.4,2004.4,,04/16/23
